Topic;ID;Question;Reference;Enviroment;Resolution
;;;;;
Requiring the end-user to search or view an answer;Answer ID 738;How can I require the end-user to search for or view an answer before submitting an Ask a Question request?;['Answer ID 5168'];   Customer Portal, End-user Search;"  On your end-user pages, you can require that people either perform a search or view an answer before the Ask a Question tab or Â Chat Â Assistance page displays. Â  This encourages your site visitors to search for information first before they submit an incident or chat request. The method for implementing this depends on which end-user pages are used with your site. Customer Portal Page Set Conditional attributes Â allow you to hide the Ask a Question tab on the template until the customer has viewed a certain number of answers or conducted a certain number of searches. The code structure for the RN Condition page tags looks like this. &lt;rn:condition attribute=""value""&gt; [Content is displayed when condition attribute is met] &lt;/rn:condition&gt; The content between the condition tags is displayed only if the specified condition is met. Otherwise it is hidden.  For additional information on this topic, refer to the 'Applying Page Conditions' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Appending specific answers when responding to incidents;Answer ID 739;How can we append specific answers when responding to incidents?;['Answer ID 1960', 'Answer ID 5168'];   Incident Response Messages, Appending Answers (link or text) Oracle B2C Service, All versions  Issue   Rather than including a link, we were hoping that we could append the actual text in the message.;"  When responding to an incident, you can append an answer to the Response field in one of two ways. You can append a link to the answer or you can append the content (text) of the answer directly to the response field. If you know the answer ID for the answer you want to append, you can use the Quick Answer shortcut to append the answer most efficiently. When appending the text of an answer, if the text you append includes links to other answers, those links do not work from the incident. In addition, if you use HTML in the content of the answer, the HTML code will display in the incident when viewed from the administration console. If the Incident Response email message is HTML enabled, the HTML will be rendered in the outgoing message. If the answer you append contains answer variables, the variable is rendered in the response sent to the customer. However, the variable does not render Â in the administration console when viewing the incident thread or when the customer views the incident from the Account Overview Â page. Note: The SA_APPEND_QUESTION  Â configuration setting allows you to specify whether both the question and answer fields are appended when appending the text of an answer or if only the answer field is appended. If SA_APPEND_QUESTION is set to Yes, both the question and answer are appended.  Path to setting(s):  Select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; and search by Key. For more information on accessing the Configuration Editor and editing settings, refer to Answer ID 1960: Editing Configuration Settings. Shortcut keys: If you know the answer ID to append, use the F9 key to append the answer text or F10 to append a link to that answer. In the pop-up window, enter the answer ID and click Enter. Â  Searching: If you do not know the answer ID to append, Â click the Search Knowledgebase button from the open incident and search for the answer using the filters available in the pop-up window.  For additional information, refer to the 'Append Answer Content' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Sending a file attachment to the end-user with the incident response;Answer ID 740;When we attach files to an incident, the recipient does not receive any of the attachments. How can we fix this?;['Answer ID 1960', 'Answer ID 5168'];   Incident File Attachments Oracle B2C Service, November 2015 and newer;"  When you attach a file to an incident or incident response, that file becomes permanently attached to the incident. Sending files with an incident response: When a file is sent with the response, the end-user receives the file as an attachment to the response they receive. The file is also automatically and permanently attached to the incident. Â The response thread is the only thread type a file can be sent with. Â  If a file is attached in the same edit a thread is added on the Messages tab (the file attachment and the incident thread are saved at the same time), an Attachments indicator displays in the title bar of the thread on the Messages tab after the incident is saved. Click the Attachments drop-down menu to display attachments added at the time the thread entry was saved, then click a file name to view the file.  To send a file with an incident response: When certain conditions are met, the Response title bar expands and the paperclip attachment symbol displays. (A) The first scenario requires that Send on Save is used. As soon as Send on Save is activated the symbol will show. (B) The second scenario requires showing email message headers. This can be configured by agents within the options area of the thread control or it can be configured in the workspace editor within the Response Options for the thread control. Make sure one of the conditions required to show the attachment symbol are met. Once available:  Click the Paperclip Attach Symbol to open the Attachments window. To send the response with one or more files that are permanently attached to the incident, select the associated check boxes in the Incident Files section of the Attachments window. To attach additional files to the incident response, click the Add Files button in the Response Files section and select Browse to view the files and folders on your workstation. Or select Search to open the File Search window.   If you selected Browse, select the file and click the Open button to attach it to the response.  If you selected Search, specify a directory, all or part of a file name, and the type of file. Click the Search button. The select one or more of the matching files and click the Add Files button to upload the selected file and attach it to the response.   Click OK Draft the response and Save the incident  NOTE: At this point, the Attachments drop down in the thread title bar will indicate the attachment was ""Sent in this response"" and list the file name(s). Â  Â Additionally, from the Attachments tab, you can see the response file was also automatically and permanently attached to the incident."
;;;;;
Error Processing Email or Invalid Message error in an incident;Answer ID 743;Why am I getting Error Processing Email or Invalid Message errors in incidentsÃ‚Â in our administration console?;['Answer ID 1569', 'Answer ID 1853', 'Answer ID 908'];   Techmail, Incidents Oracle B2C Service;  An incident with the subject Error Processing Incident is created when the techmail utility encounters an unrecoverable error. Â  Â The techmail utility either exits immediately on the error and does not shut down the process in a controlled manner or rolls back the transaction and exits with an error. This techmail error occurs due to some issue/misconfiguration within the site setup including but not limited to these common issues.  Customization Business Rules Configuration or Message Base values Parsing the HTML of the message Something in the raw message    When an unrecoverable error occurs, the techmail utility notes that the last message was not processed on the last run. Because the message was not processed correctly on the last run of techmail, an Error Processing Incident is created on the next run of techmail without trying to reprocess the message. If an error occurred during the techmail run, an error code is indicated in the Utility Last Run log. For more information on viewing the Utility Last Run log, refer to Answer ID 1569: Links on Site Tools and Account pages on Oracle B2C Service Technical Support site. If a database error occurred, the error is reported in the System Error Log. Staff members whose profile allows access to the Error Log will receive an error notification in the Communication Center. For more information on the System Error Log, refer to Answer ID 1853: Error Log and System Error Notifications. Note: Â  Â The message base ERROR_PROCESSING_EMAIL_MSG is the value entered in the subject and will be different per language. Â  Â For convenience a site may configure the message base to be the same across all interfaces for consistent reporting on these types of incidents. Reporting Error Processing Incidents: The creation of an Error Processing Incident indicates an email message that was not processed correctly. Â Please note this is expected functionality to avoid data loss and intermittent occurrences are nothing to worry about. However, if Â they begin to happen regularly with increased frequency Â an investigation Â may be Â needed to determine the cause of the unrecoverable error. Should you decide to submit a service request to Â Technical Support, Â please provide any observation details on the Error Processing Incidents such as:  Started on such and such a date Comes from a common contact or domain Only occurs on incidents created from a specific mailbox and/or interface A customization was recently implemented System errors correspond to the incident creation  Note: Â  Â Depending on the frequency of occurrence, the troubleshooting duration and methods will change. Â  Â To troubleshoot means capturing the error as it occurs which can take time if Error Processing Incidents are created infrequently. Handling Error Processing Incidents: For each incident where this issue occurred, there should be an attached message.txt file with the actual contents of the email message so you can respond to your contact. Note that there is no data loss for this issue as the attachment is the entire original raw email that was sent by the end-user. You can view the message.txt attachment in a in a friendly format much like an email client rather than the email text file by doing the following:  Save the file to your desktop as message.mht. Open the file from your Desktop. It should open in a browser window in a readable format. Upload the file to the incident if appropriate and save the incident.  *Note: Many times it is also possible to change the file extension to .eml and open the attachment in outlook.  The recommended best practice in these events is to view either the original message file in a text editor or the saved message.mht file, and (if appropriate) copy the content into a new incident in your system, as follows:  If you can identify some text relating to a support issue, you can copy it out and paste it into a new incident. If you see text indicating that the message is an update to an existing incident, look for the incident number somewhere in the content and use it to identify the intended incident in your database. Then copy and paste the text of the update message into a new thread in that incident to manually update it. If the file is unreadable or contains words associated with spam, you can treat the incident consistent with your process for handling incidents originating from junk mail. For more information regarding spam refer to Answer ID 908: Preventing SPAMjunk-type email from becoming incidents.  Since the original email is attached, you can open the attachment to determine the contact and incident information and either update the existing incident or manually create an incident from the contents of the attachment.
;;;;;
End-users logging out of a shared machine;Answer ID 746;How does an end-user log out of a session if their computer is in a shared environment?;['Answer ID 383'];   Enduser Pages  Issue   When an end-user logs in our support site, apparently a cookie is set to recognize that user should they leave and return to the same machine.Ã‚Â We would like to change this behavior.Ã‚Â ;"  If the Oracle B2C Service application is using the default configuration of the IF_NOT_USER_MSG message base, (namely, ""If you are not ______ click here""), then a link is included on the Support Home page when the end-user is logged in. To log out, the end-user clicks on the link. Clicking this link ends the customer's session and requires the end-user to log in again through the Login link Â before they can review their submitted questions again.  Â  Note: If the Support Home page is disabled, this link appears on the Answers List page, which is accessed by clicking the Answers page. If you would like to change the text of this message, you can edit the IF_NOT_USER_MSG message base. Path to edit: Â Configuration items &gt; Site Configuration &gt; Message Bases &gt; search by Key Edit the value and click Update. Then, click Commit and Exit. For more information on editing message bases, refer to Answer ID 383: Determining Which Message Base to Edit."
;;;;;
Support provided for older versions of Oracle B2C Service;Answer ID 749;How long will Oracle B2C Service provide support for older releases?;['Answer ID 7537', 'Answer ID 8716'];   End of Life (EOL) Policy Documentation for Oracle B2C ServiceÃ‚Â ;  Oracle will provide support for Oracle B2C Service (OSvC) releases for the last five (5) releases, with the exception of customers who provisioned Oracle B2C Service before June 1, 2017. Â  Â For those customers, Oracle will support eight (8) releases. Â  Â   Customers who purchased B2C Service June 1, 2017 and after, the support period is 5 releases/15 months. Customers who first purchased B2C Service Â before June 1 2017, the support period is 8 releases/24 months.  With each subsequent release, the oldest GA (general availability) release will be considered at its End of Life (EOL). Â  Â For comprehensive information regarding Â support and Â EOL dates, refer to Oracle's Â Software Release Hosting and Support Lifecycle Policy. Â  The EOL date for a site can be seen in Configuration Assistant under Manage My Update - Update Information. For additional information regarding EOL Policy and what this means to you, visit the Support Experience Blog: Â  Maintaining a Healthy Site Series: End of Life.
;;;;;
Adding a link on the Support Home page or a tab to the end-user pages;Answer ID 750;How can we add another link on the Support Home page or a tab to the end-user pages and link it to the appropriate text?;['Answer ID 7537', 'Answer ID 8716'];  Customer Portal, End-user pages;" Within the Customer Portal (CP) files, you can add a section to the Support Home page and/or add a tab to the navigation bar that leads to a custom page. Â  You can create a custom .php page and place it in a specific folder. Then, you can link to that file by including the file directories and the file name (without the.php extension). For example, the default file to create a new account is named create_account.php and is located in the views/pages/utils folder. The URL to display that php file is: http://interfacename.custhelp.com/app/utils/create_account  Adding a section to the Support Home page: Â  Edit the home.php file to include the additional content you wish. Adding a tab to the navigation bar: Â  Edit the rn_standard.php and rn_standard_account.php templates to include additional NavigationTab widgets to the templates. For example, within the templates, the code below adds the Support Home tab to the navigation bar: &lt;li&gt; &lt;rn:widget path=""standard/navigation/NavigationTab"" label=""#rn:msg:SUPPORT_HOME_TAB_HDG#"" link=""/app/home"" pages=""home, "" css_class=""selected""/&gt; Â  Â &lt;/li&gt; Within the template, copy the code and update it to link to a custom page you have created."
;;;;;
Disabling one of the Search By options on the end-user Answers page;Answer ID 754;I would like to disable at least one of the available search methods, Similar Phrase, for example.;['Answer ID 5168'];   Customer Portal, Answer List Page;  To remove an item from the Search By menu, you must edit the report for the end-user page to remove the run-time selectable filter from the report. Within Customer Portal pages, use the SearchTypeList widget. This widget defines options listed in the Search Type field when using an answer or incident report. The options in the menu correspond to runtime filters in the report. For answers, the search_nl, search_fnl, search_cpx, and search_ex filters are used to display the Phrases, Similar Phrases, Complex Expression and Exact Search options. For incidents, the search_thread and ref_no filters display as Summary/Thread and Reference # in the menu. If 'search_type_only' is set to false, all runtime filters of type integer (INT) or text (VARCHAR) are also included in the Search Type menu, including both standard and custom fields. For addtional information, refer to the Â 'Edit the Search Results Page' section in the Â online documentation for the version your site is currently running. Â  To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Removing the Login tab or link from the end-user pages;Answer ID 766;How do I remove the Login tab from the end-user pages?;['Answer ID 5168'];   Customer Portal;  In the Customer Portal pages, by default, a Login link is included on Â the end-user pages Â in the upper Â right section of the page. Â When the user clicks the link, they can enter their username and password to log in. Â When logged in, the user can Â view the Account pages and submit incidents via the Ask a Question page. If the user is logged in, a welcome message displays along with the contact's name and organization (if the contact record is associated to an organization). In addition, a Logout link displays as well. The Login / Logout link functionality is controlled by Â two composite widgets referenced in the default templates. Â   The LoginDialog Â widget is included in the standard.php template. Â    The LogoutLink widget is included in the standard.php template.  To remove the Login / Logout link from the CP pages, edit the standard.php template to remove the login/LoginDialog and login/LogoutLink widgets. For additional information regarding these widgets, refer to the 'LoginDialog widget' or 'Standard widgets' sections in online documentation for the version your site is currently running. Â  To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Allow any customer to send an email request to a support mailbox;Answer ID 767;How can I allow anyone to submit an incident via email?;['Answer ID 1960'];  Mailboxes - Service / System Configuration;" The Â  EGW_AUTO_CONT_CREATE configuration setting specifies whether end-users can create a new account by submitting an assistance request through a mailbox configured for your site. For new contact records created from an email, the contact record will be populated with the customer's email address as well as the contact's first and last names if they can be extracted from the email headers. If only one name is present in the header, it will populate the contact's last name value. The user ID for the Â contact will be set to their email address and their password will be set based on how the EGW_PASSWD_CREATE  Â setting is configured. That is, if EGW_PASSWD_CREATE is enabled, a random password is created for the account and that password is emailed to the new contact. If EGW_PASSWD_CREATE is disabled, the password is left blank and the contact does not receive an email regarding their new record. If EGW_AUTO_CONT_CREATE is disabled, the user must have a valid contact record already established in your application in order to be able to submit an email to your mailbox. This allows you to restrict access to your site to specific contacts. Path to setting(s):  Select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; and search by Key. For more information on accessing the Configuration Editor and editing settings, refer to Answer ID 1960: Editing Configuration Settings."
;;;;;
Profile Permissions;Answer ID 768;When setting a profile, which featuresÃ‚Â do the different permission check boxes enable?;['Answer ID 5168'];   Staff Profiles Oracle B2C Service, All versions;  The profile options can be found in the Staff Management area of the Configuration tab. The Permissions can be access via the Ribbon.  Administration Checkbox: Select this check box to allow staff members with this profile access to the following options:  Custom Fields Messages Templates Mailboxes Currencies/Exchange Rates Service Level Agreements Response Requirements Chat Hours Channels Channel Accounts Quote Templates Territories Promotions Strategies Sales Period External Suppression List Thread Type Correction  Groups / Accounts / Distribution Lists:  Select this check box to allow staff members with this profile access to Staff Accounts and Distribution Lists  System Error Log:  Select this check box to allow staff members with this profile to access the log files under Site Configuration.  Workspace Designer:  Select this check box to allow staff members with this profile access to the Workspaces and Workflows explorer and designer.  Scripting:  Select this check box to allow staff members with this profile access to create and edit agent scripts. Â  NOTE: Agent scripting must be enabled on your site to use this feature. Contact your Oracle Account Manager for information. Â   Object Designer:  Select this check box to allow staff members with this profile access to create and edit manage custom objects using the object designer. Â  Â NOTE: Agent scripting must be enabled on your site to use this feature. Contact your Oracle Account Manager for information.  Message Templates:  Select this check box to allow staff members with this profile to edit message templates used to customize administrator notifications, administrator email and contact emails.  CP Promote:  Select this check box to allow staff members with this profile to deploy the production customer portal site. Â   CP Stage:  Select this check box to allow staff members to stage deployments. Â   CP Edit:  Select this check box to allow staff members to access customer portal files through WebDav. Â  Â   Rules View:  Ability to view all rules in the application  Data Import:  Select this check box to Â let staff members with this profile to import records through the Data Import Wizard and manager Data Import templates. Â   Process Designer:  Select this check box to let staff members with this profile to create custom processes that run when events occur on objects in the system.  Access Control:  Select this check box to let staff members with this profile to access to the Access Control editor to configure permissions for Community Self Service.  Broadcast Notification:  Select this check box to allow staff members with this profile to send notifications to other staff members.  Configuration: Â  Â  Select this check box to allow staff members with this profile access to the following options:  Password Configuration Configuration Settings Configuration Wizard Message Bases File Manager Interfaces Add-in Manager Email Address Sharing  Business Process Settings: Select this check box to allow staff members with this profile access to the following options:  Navigation Sets Customizable Menus Countries Products/Categories/Dispositions Â  Â  Standard Text Variables Holidays Product Catalog Price Schedules Tracked Link Categories  Rules Edit:  Select this check box to allow staff members with this profile to edit business rules.  Profiles:  Select this check box to allow staff members with this profile to add and edit profiles.  SSO Login (SAML 2.0):  Select this check box to allow staff members with this profile to login only through an external identity provider (SSO process). Â   Bulk Delete  Select this check box to let staff members with this profile delete up to 1000 contact or custom object records at a time. Â     If enabled Outlook Navigation:  Access to Microsoft Outlook items (This option only displays if Outlook Integration is enabled.)  Virtual Assistant Edit:  Select this check box to let staff members with this profile configure the virtual assistant. NOTE: Â For this check box to display, your site must be integrated with Oracle Virtual Assistant Cloud Service (Virtual Assistant). Contact your Account Manager for information. Â     Additional Options Browser User Interface: Account Authentication: Select this check box to give staff members with this profile access to Oracle B2C Service using the Browser UI through account authentication.  Public SOAP API:  Select these check boxes to allow staff members with this profile access the public SOAP API through account or session authentication. Â Refer to the Integrations and APIs for Service forum.  Public Knowledge Foundation API:  Select these check boxes to allow staff members with this profile access to the public Knowledge Foundation API through account or session authentication. Â   For additional information, refer to the 'Add or Edit a Profile' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Setting a product or category for email requests;Answer ID 777;How do I remove the Unspecified option for the Product and Category field for incidents created from email requests?;['Answer ID 5168', 'Answer ID 486'];   Incoming Incident Routing, Business Rules, All versions;"  When submitting a request via email, your customers have no means to assign a product or category value to the incident created since there is no field to specify in the email itself. As a result, by default, incoming email requests are assigned to be Unspecified. You can use business rules, however, to assign products and/or categories to incoming email requests. Note: Keep in mind that assigning fields based on the content of the email is not perfect in that customers may or may not include certain words or phrases in their request. For this reason, the business rule may not catch all of the incidents you would like. To do this, you can configure a rule similar to the examples below where the Incident Source is equal to Email and the THEN part of the rule sets the appropriate field(s): uses the Set Product or Set Category option from the Add Additional Action drop-down menu:  Set the Incident Source to be E-mail.   Click Add Another Condition and select Incident.Summary (the Subject of the e-mail) or Incident.Description (the body of the email).   For the Operator select either CONTAINS or MATCHES REGULAR EXPRESSION and then you can enter a word or phrase in the Value field.   Add additional IF conditions as necessary. Note: If you want to assign fields based on the mailbox the request is sent to, select Incident.Mailbox EQUALS mailbox name from Mailboxes table. Be sure to use the NAME of the mailbox, not the e-mail address to which the mail is sent.   For the action, Â select Set Field &gt; Product or Category.    For more information on setting up business rules, refer to Answer ID 5168: Documentation for Oracle B2C Service Products.  Â  For more information on using regular expressions, refer to Answer ID 486: Using Regular Expressions."
;;;;;
Enabling Review On date field when editing answers;Answer ID 778;What are the Review On date fields used for when editing an answer?;['Answer ID 1429', 'Answer ID 5168'];   Answers, Administrator Notifications Oracle B2C Service;  Over time, the content of your answers may become outdated. Consequently, your public answers should be reviewed with some frequency to ensure their content is current, relevant, and useful. You may wish to review answers at a set frequency, such as every six months, or you may wish to review answers to coincide with new product releases or updates. When enabled on your site, the Review On date field displays when adding or editing answers. If a review date is set, on the review date, the status of the answer changes from Public or any other status that is a public Â status type to the Review status. The Review On date field value (answers.expires) is also cleared by agedatabase at that time. Note: If the status is manually changed to Review, the Review On date field value will not be automatically cleared. Â  Â If the answer is then set back to Public, be sure to either clear the review date from the date field or set a new date for some time in the future. If you merely edit the answer to set it to a public status and leave the past review date, the answer will get set to Review the next time the agedatabase utility runs. You can enable the Answer Reviewed notification. When enabled, a notification is sent to staff member assigned to the answer when that answer's status is changed to Review. For more information on this feature, refer to Answer 1429: Notifying Staff for Answers in Review Status. The Review On field is controlled by the answer workspace. Â  You can drag and drop the Review On field to be included in the workspace used by your staff members. For more information on editing workspaces, refer to the Â 'Workspaces' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Requiring certain fields with submitted incidents;Answer ID 780;How do we set the fields and drop-down menus to be required before the customer can submit a question?;['Answer ID 1429', 'Answer ID 5168'];   Customer PortalÃ‚Â CP v3.x, Ask a Question page Oracle B2C Service;"  The steps to set a field as required when submitting an Ask a Question request depend on which field you wish to set. Important! The information below Â only affects incidents created from Ask a Question submittals. Incidents created from other sources such as:  email requests (if EGW_ENABLED is set to Yes), answer or site feedback, or responses to mailings  ...cannot require fields to be filled out since the submittal method does not give the contact the opportunity to set the fields. For example, when an email is submitted, there is no way for the contact to set a product, category or other custom field. Similarly, when an incident is created from answer or site feedback, there is no means for the contact to set product, category, or custom Â fields that are required on the Ask a Question page. You can set up business rules to set custom fields to a default value for incidents created from email submittals or other sources. When configuring the rule, include the Incident Source field in the IF part of the rule to specify the types of incidents that will have the fields set by the rule.  Requiring custom fields: Â When configuring custom fields, Â the Required check box makes the field required on the end-user pages (when the field is enabled for end-user visibility). This applies to both incident custom fields added to the Ask a Question page and contact custom fields enabled on the Create Â Account page. Â The Required check box also sets the default property for the custom field when it is added to a workspace. Â  However, within a specific workspace, an administrator can set the Required Â property to Never or On New or On Edit so that the field is never required or only sometimes required when the record is edited from the Oracle B2C Service Console. Â  As a result, for incidents created from the administrative console, some fields may not be required -- even if the fields are required from the end-user pages.  Product and Category Fields  For Customer Â Portal CP3 Widget version 2.0.1 or lower If you are using Â Customer Portal, the standard ProductCategoryInput widget can be edited to require a product or category during the incident submission. Â  Â Below are some examples of some edits made to the ProductCategoryInput widget to make the product and category required fields; &lt;rn:widget path=""input/ProductCategoryInput"" table=""incidents"" required_lvl=""2"" data_type=""products""/&gt; &lt;rn:widget path=""input/ProductCategoryInput"" table=""incidents"" required_lvl=""2"" data_type=""categories"" label_input=""#rn:msg:CATEGORY_LBL#"" label_nothing_selected=""#rn:msg:SELECT_A_CATEGORY_LBL#""/&gt;  CustomerPortal v3.3 Widget version 2.1.1 and higher &lt;rn:widget path=""input/ProductCategoryInput"" table=""incidents"" required_lvl=""2"" /&gt; &lt;rn:widget path=""input/ProductCategoryInput"" table=""incidents"" required_lvl=""2"" Â  label_input=""#rn:msg:CATEGORY_LBL#"" label_nothing_selected=""#rn:msg:SELECT_A_CATEGORY_LBL#""/&gt;  Incident Custom Fields  If the field(s) are custom fields included on the Ask a Question page along with the question, you can edit the configuration for that specific incident custom field and enable the Required check box so that the field is required on the Ask a Question page.  Contact Custom Fields  If the field(s) is requested when the end-user creates a new account from the end-user interface, the field is a contact custom field."
;;;;;
Purging the database of old incidents or answers;Answer ID 781;What options are there for purging the database of old incidents or answers?;['Answer ID 1234'];   Purge incidents, Delete answers  Issue   I would like to purge our database of all public answers and incidents for all interfaces. How can I accomplish this without deleting the incidents one at a time?;"  There are several options to purge your database of old incidents or answers. To delete records from your site, such as incidents or answers, your staff profile must have the Delete option enabled for the record type. For example, to delete incidents, your staff profile must have the Delete option enabled on the Service tab for incidents. You can archive older incidents instead of deleting them so that if you need to reference them in a read-only format at a later time, you can. For more information on archiving incidents, refer to Answer ID 1234: Options for removing older incidents without deleting them from our site.  Deleting Solved Incidents  Important! Once the incidents have been purged, edit the PURGE_DELETE_INCIDENTS setting to be zero so that your new incidents are not deleted. The best way to purge old, solved incidents prior to the 18B release Â is by using the PURGE_DELETE_INCIDENTS  Â configuration setting. This setting specifies the number of days after which Solved incidents will be deleted. Beginning with the 18B release, incident purging can be configured and enabled via Â Data Lifecycle Policies in the Agent Browser UI. Because of this the PURGE_DELETE_INCIDENTS configuration has been removed. Note: Incidents assigned to custom status levels where the custom status type is Solved are also purged from the database. If you set the PURGE_DELETE_INCIDENTS setting to 0, incidents will not be deleted automatically. If you set this setting to be 1 day, you can remove virtually all Solved incidents from your database the next time agedatabase runs -- usually once per day.  Path to setting(s):  Select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; and search by Key.   Deleting Unresolved Incidents  Important! Use extreme caution when deleting batches of incidents. Once the incidents are deleted from the database, they are removed completely and this action cannot be reversed. Note that you can also use this method to delete groups of solved incidents if you have a specific group of incidents you wish to delete. To delete a group of incidents, you can use the multi-select feature to select a group of incidents and then right click on the selection and select Delete:  Use a report that allows you to search for the incidents of interest. Using the Shift key to select a range of incidents. Use the Control key to select specific incidents to delete. Right click and select Delete &gt; Incident. Confirm the deletion if you are certain you want to delete the incidents.  Deleting Answers  Important! Be very careful when deleting answers. Once the answers are deleted from the database, they are removed completely and this action cannot be reversed.  Â  To delete answers, you can use the multi-select feature and then right click on the group of answers and select Delete:  Use a report that allows you to search for the answers of interest. Using the Shift key select a range of answers. Use the Control key to select specific answers to delete. Right click and select Delete &gt; Answer. Confirm the deletion if you are certain you want to delete the answers."
;;;;;
Methodology behind the answer score value;Answer ID 790;What is the methodology behind the score value that is calculated for answers? I understand that it is not a simple helpful / not helpful increment.;['Answer ID 5874'];   Answers, Score, End-user pages Oracle B2C Service;"  The Solved Count feature collects information about the usefulness of answers in your knowledge base and uses this data to rank your answers. Implicit data is compiled by how customers select and view answers. Explicit data is compiled by how customers rate the effectiveness of individual answers. Both long-term and short-term solved counts are used to calculate the score. Solved counts from the customer portal account for 75 percent of an answer's score, and agent solved counts for 25 percent. Using the solved count values, Â Oracle B2C Service can dynamically rank the answers by their usefulness and present customers with the most effective answers first. By default the Solved Count feature is enabled. An answer's score value is a calculated value equal to the answer's solved count combined with any ""fix at"" positions specified for the answer in the Display Position drop-down menu when adding or editing an answer. For more information about the options available, refer to Adding Answer Details. The answer score takes into account how well the answer satisfied the end-user. It also takes into account any additional searching performed by the contact after viewing the Answer. Depending on the actual usage by the end-user, the score may increase by a few points or may even decrease.  Implicit Ratings Â - Implicit ratings are gathered as customers view answers. If a customer views an answer, the solved count of the first answer is increased, but not as much as the second viewed answer. In other words, the answer that the customer views last receives the largest solved count increase. Previously viewed answers receive a smaller increase in their solved counts. The solved count is also increased when an agent uses a SmartAssistant suggested answer when responding to a customer's question. Explicit Ratings - Explicit ratings are gathered from the response to the question, ""Was this answer helpful?"". This question is displayed on the Answers page on the customer portal.  In addition, if the answer is not viewed frequently, its score may be reduced automatically by the system. The SA_AGE_FREQ  Â configuration setting specifies the aggressiveness of the SmartAssistant data aging process. The value corresponds to the approximate number of days for an unused Answer to have its solved count and link strengths reduced to zero. Maximum value is 400. A value of 0 disables aging. Default is 200.  Path to setting(s):  Select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; and search by Key."
;;;;;
Verifying a response has actually been sent to a customer;Answer ID 792;Is there a way for me to verify that a response has actually been sent to a customer?;['Answer ID 5874'];   Audit Log, Transactions Oracle B2C Service;"  Each support incident includes a list of transactions which are a record of actions for that incident, including editing, routing, assignment to other staff members and when responses were sent to the end-user. To verify that a response has been sent for an incident, open the incident for editing in the Oracle B2C Service console. Click the Details tab or the Audit Log tab to view the audit log transactions. If a response was sent, you'll see an entry for ""Respnose Sent"". It is possible to save a response without sending it, so it is really important to view this Audit Log if you want to verify the response was sent as well as seeing who the response was sent to. Â  Note: Since workspaces are customizable, the specific location of the audit log depends on the specific workspace used for your staff account. If you have difficulty finding the audit log, contact the administrator of your Oracle B2C Service application."
;;;;;
Setting custom default reports for each staff member;Answer ID 795;How do I set up default reportsÂ so that each staff member will view the unresolved incidents assigned to them?;['Answer ID 2508'];   Analytics, Navigation Sets Oracle B2C Service;"  How to set a default report depends on whether the staff member can customize the navigation set that is set for them in their staff profile. Staff Â can customize the default reports Â if the Customize Navigation Set Â box is enabled on the Common tab Â in their staff Â profile. For more information on modifying navigation sets, refer to Answer ID 2508: Allowing staff to customize their navigation sets. Regardless of whether the staff can customize their navigation set, each staff member can set their navigation pane options to open the default report for the current page when they first log in. To have the default report open at startup, Click File &gt; Options &gt; Navigation Pane. In the ""Behavior"" section enable the Default Navigation Item for Current Page. If staff can customize their navigation set: Â  If staff members can customize the navigation set as specified in their profile, they can set the default report to use for each of their navigation buttons. Â  When configuring Â the navigation set, an administrator can set a default report by right clicking on the report and selecting Set as Default. Â  This sets the initial default report for the staff member. However, once logged in the staff member can select a different default report to use by right clicking on the report from the navigation pane and selecting Set as Default. Note: Â  In addition to changing the default report, the staff member can also customize the list of reports that display. Staff can click on the Customize List... Â link and add or delete reports from their navigation list. Â  Â  Staff cannot customize their navigation set: If the staff member's profile does not have the Customize Navigation Set box enabled, then an administrator sets the Â default report when they configure the navigation set used in the staff Â profile. Â  Â  To configure the default report in the navigation set, Â open the navigation set for editing from the Navigation Explorer. Click the appropriate navigation button. Then right click on the report and select Set as Default. Â  "
;;;;;
